Source,Target,Weight
Jérémie du Boisberranger,Olivier Grisel,8
Adrin Jalali,Guillaume Lemaitre,16
Adrin Jalali,Thomas J. Fan,7
Adrin Jalali,Yao Xiao,1
Guillaume Lemaitre,Thomas J. Fan,5
Guillaume Lemaitre,Yao Xiao,4
Thomas J. Fan,Yao Xiao,3
Christian Lorentzen,Guillaume Lemaitre,7
Christian Lorentzen,Jérémie du Boisberranger,4
Christian Lorentzen,Tim Head,4
Guillaume Lemaitre,Jérémie du Boisberranger,13
Guillaume Lemaitre,Tim Head,5
Jérémie du Boisberranger,Tim Head,1
Johann,jpienaar-tuks,1
Akihiro Kuno,Jérémie du Boisberranger,1
Akihiro Kuno,Olivier Grisel,1
Adrin Jalali,raisadz,1
Olivier Grisel,Omar Salman,2
Adrin Jalali,Olivier Grisel,6
Loïc Estève,Tim Head,5
Christian Lorentzen,Olivier Grisel,10
Adrin Jalali,Omar Salman,4
Adrin Jalali,Stefanie Senger,8
Omar Salman,Stefanie Senger,2
Conrad,Conrad Stevens,1
Adrin Jalali,Arturo Amor,3
Tuhin Sharma,bivav,1
Adrin Jalali,Andreas Mueller,1
Adrin Jalali,Christian Lorentzen,2
Adrin Jalali,Joel Nothman,2
Adrin Jalali,Jérémie du Boisberranger,4
Adrin Jalali,Soledad Galli,1
Andreas Mueller,Arturo Amor,1
Andreas Mueller,Christian Lorentzen,1
Andreas Mueller,Guillaume Lemaitre,1
Andreas Mueller,Joel Nothman,1
Andreas Mueller,Jérémie du Boisberranger,1
Andreas Mueller,Olivier Grisel,1
Andreas Mueller,Omar Salman,1
Andreas Mueller,Soledad Galli,1
Andreas Mueller,Thomas J. Fan,1
Arturo Amor,Christian Lorentzen,4
Arturo Amor,Guillaume Lemaitre,3
Arturo Amor,Joel Nothman,1
Arturo Amor,Jérémie du Boisberranger,1
Arturo Amor,Olivier Grisel,5
Arturo Amor,Omar Salman,1
Arturo Amor,Soledad Galli,1
Arturo Amor,Thomas J. Fan,1
Christian Lorentzen,Joel Nothman,1
